id,name,cost_net,vat,cost_gross,category
136,Odtwarzacz,478.27,23,588.27,E
137,Kabel,4156.2,8,4488.7,B
138,Kabel,1129.57,23,1389.37,D
139,Amplituner,4506.3,12,5047.06,E
140,Szkło hartowane,1315.03,5,1380.78,B
141,Fotel,544.71,8,588.29,B
142,Odkurzacz,4432.93,23,5452.5,B
143,Robot kuchenny,1842.0,23,2265.66,A
144,Odkurzacz,3186.35,8,3441.26,F
145,Klimatyzator,2860.53,12,3203.79,G
146,Pamięć RAM,4659.1,8,5031.83,D
147,Modem,1650.57,5,1733.1,H
148,Lampa biurkowa,3556.7,8,3841.24,F
149,Skaner,324.81,23,399.52,E
150,Chłodzenie,3996.79,5,4196.63,G
151,Pendrive,1832.43,12,2052.32,A
152,Mikrofon,162.18,5,170.29,C
153,Klimatyzator,2491.56,12,2790.55,E
154,Stacja dokująca,4181.32,8,4515.83,F
155,Mysz,1767.16,5,1855.52,B
156,Niszczarka,1686.52,23,2074.42,E
157,Klawiatura,4793.98,8,5177.5,A
158,Filtr,1874.05,8,2023.97,A
159,Odtwarzacz,1386.07,5,1455.37,G
160,Fotel,3659.32,5,3842.29,F
161,Słuchawki,2187.78,8,2362.8,G
162,Wzmacniacz sygnału,2316.0,23,2848.68,F
163,Konsola,790.86,8,854.13,H
164,Pralka,4801.64,12,5377.84,A
165,Kontroler,1818.39,12,2036.6,H
166,Płyta główna,2471.36,8,2669.07,F
167,Odkurzacz,2993.86,23,3682.45,G
168,Router,4900.62,12,5488.69,H
169,Toster,1888.39,8,2039.46,H
170,Lampa biurkowa,4051.12,8,4375.21,E
171,Telewizor,3105.51,5,3260.79,E
172,Toster,3038.91,12,3403.58,G
173,Hub USB,1248.0,23,1535.04,E
174,SSD,4397.66,5,4617.54,E
175,Soundbar,3385.5,12,3791.76,E
176,Fotel,4893.35,8,5284.82,G
177,Antena,2906.42,5,3051.74,H
178,Procesor,2931.12,8,3165.61,F
179,Konwerter,2585.89,12,2896.2,F
180,Słuchawki,942.91,8,1018.34,H
181,Karta graficzna,2366.7,5,2485.03,A
182,Router,2003.82,5,2104.01,H
183,Odtwarzacz,4541.45,23,5585.98,A
184,Kalkulator,1042.6,8,1126.01,B
185,Mysz,1812.98,12,2030.54,A
186,Mysz,2850.35,5,2992.87,G
187,Tuner,434.58,5,456.31,B
188,Mikser,244.54,23,300.78,D
189,Czajnik,3232.41,12,3620.3,H
190,Ładowarka,3704.99,5,3890.24,B
191,Konwerter,2570.7,12,2879.18,B
192,Zmywarka,3905.16,23,4803.35,F
193,Obudowa,4549.3,8,4913.24,A
194,Etui,1520.54,5,1596.57,B
195,Pamięć RAM,2481.63,12,2779.43,E
196,Podkładka,3121.15,12,3495.69,C
197,Kabel,2514.15,12,2815.85,E
198,Ładowarka,3715.97,23,4570.64,D
199,Etui,1683.95,23,2071.26,C
200,Mikser,4841.02,8,5228.3,H
201,Procesor,1510.77,12,1692.06,A
202,Switch,3844.29,23,4728.48,D
203,Uchwyt,635.95,5,667.75,A
204,Telefon,437.11,5,458.97,A
205,Kolumny,400.55,8,432.59,C
206,Uchwyt,2704.1,12,3028.59,E
207,Telefon,660.19,5,693.2,E
208,Amplituner,3281.92,23,4036.76,D
209,Antena,251.49,8,271.61,F
210,Pralka,2553.51,8,2757.79,C
211,Adapter,803.07,23,987.78,H
212,Szkło hartowane,3635.36,8,3926.19,H
213,Smartband,4207.69,23,5175.46,G
214,Odkurzacz,4604.84,12,5157.42,F
215,Wzmacniacz,1577.97,12,1767.33,D
216,Klawiatura,2564.01,12,2871.69,A
217,Chłodzenie,1740.62,23,2140.96,G
218,Nawigacja,1498.59,8,1618.48,C
219,Dysk,2316.17,12,2594.11,B
220,Soundbar,2993.99,23,3682.61,B
221,Powerbank,4525.23,12,5068.26,F
222,Soundbar,1406.83,12,1575.65,B
223,Lokalizator,2428.97,12,2720.45,A
224,Modem,150.54,5,158.07,A
225,Pamięć RAM,4166.97,5,4375.32,F
226,Pendrive,4714.36,23,5798.66,A
227,Powerbank,94.31,23,116.0,F
228,Klawiatura,3411.63,23,4196.3,A
229,Stacja dokująca,2068.01,8,2233.45,G
230,Lodówka,1152.06,12,1290.31,F
231,Wzmacniacz sygnału,368.94,23,453.8,B
232,Płyta główna,4102.82,12,4595.16,F
233,Powerbank,1476.51,5,1550.34,A
234,Interfejs audio,2924.06,23,3596.59,C
235,Skaner,3397.05,8,3668.81,C
236,Stacja dokująca,2807.68,23,3453.45,G
237,Projektor,4166.45,23,5124.73,D
238,Uchwyt,3527.53,23,4338.86,D
239,Torba,1824.35,5,1915.57,A
240,SSD,1865.75,23,2294.87,E
241,Pendrive,993.54,12,1112.76,H
242,Zmywarka,3944.69,8,4260.27,C
243,Klawiatura,1242.8,5,1304.94,E
244,Odkurzacz,4883.0,12,5468.96,A
245,Statyw,4841.38,12,5422.35,G
246,Kino domowe,1845.71,23,2270.22,D
247,Mysz,4403.99,12,4932.47,D
248,Lokalizator,118.14,23,145.31,A
249,Klimatyzator,2301.9,5,2417.0,G
250,Mikrofon,1371.48,23,1686.92,E
251,Mikser,4666.98,5,4900.33,D
252,Smartwatch,3313.5,12,3711.12,D
253,Stacja dokująca,1405.74,12,1574.43,H
254,Tablet,631.93,12,707.76,G
255,Ładowarka,1045.8,5,1098.09,G
256,Toster,4870.33,5,5113.85,F
257,Pendrive,4519.9,12,5062.29,G
258,Robot kuchenny,4723.34,5,4959.51,B
259,Tablet,4613.51,12,5167.13,H
260,Obiektyw,2128.12,12,2383.49,A
261,Uchwyt,4820.37,5,5061.39,H
262,Etui,358.75,8,387.45,C
263,Obiektyw,99.8,8,107.78,H
264,Torba,4081.96,12,4571.8,E
265,Lampa biurkowa,1188.05,5,1247.45,D
266,Monitor,2568.26,23,3158.96,G
267,Tuner,3326.39,23,4091.46,B
268,Torba,4838.34,5,5080.26,G
269,Powerbank,2777.36,5,2916.23,C
270,Projektor,3439.57,8,3714.74,C
271,Mikrofon,4453.5,8,4809.78,A
272,Odkurzacz,447.07,8,482.84,F
273,Zasilacz,1916.15,5,2011.96,E
274,Tablet,3684.83,8,3979.62,H
275,Kabel,477.55,23,587.39,B
276,Aparat,1132.74,8,1223.36,E
277,Smartwatch,2372.9,23,2918.67,E
278,Equalizer,2926.33,23,3599.39,B
279,Wzmacniacz sygnału,4210.02,5,4420.52,D
280,Mikser,2965.82,12,3321.72,A
281,Wzmacniacz,2434.8,12,2726.98,C
282,Ładowarka,2750.09,12,3080.1,H
283,Equalizer,342.56,23,421.35,C
284,Smartwatch,1877.79,5,1971.68,C
285,Torba,3160.29,8,3413.11,G
286,Router,3599.08,23,4426.87,E
287,Kontroler,3934.82,12,4407.0,H
288,Amplituner,4227.26,23,5199.53,D
289,Podkładka,2774.64,23,3412.81,D
290,Pralka,939.96,8,1015.16,H
291,Filtr,566.62,8,611.95,C
292,Klawiatura,2587.2,12,2897.66,G
293,Bindownica,3176.57,5,3335.4,A
294,Procesor,3019.51,8,3261.07,D
295,Płyta główna,1271.72,23,1564.22,E
296,Ładowarka,2813.96,8,3039.08,C
297,Wzmacniacz sygnału,1561.43,23,1920.56,G
298,Karta pamięci,2673.99,23,3289.01,B
299,Pamięć RAM,763.36,8,824.43,E
300,Klawiatura,1589.2,23,1954.72,C
301,Statyw,2651.99,5,2784.59,B
302,Lokalizator,203.93,8,220.24,B
303,Niszczarka,3013.38,23,3706.46,G
304,Mikrofon,2242.3,5,2354.42,F
305,Soundbar,2294.86,23,2822.68,F
306,Stacja dokująca,4876.23,8,5266.33,G
307,Router,728.36,12,815.76,D
308,Router,1647.68,23,2026.65,E
309,Lampa biurkowa,4379.94,5,4598.94,B
310,Dysk,1503.65,8,1623.94,G
311,Kino domowe,133.76,8,144.46,F
312,Kabel,4970.68,5,5219.21,A
313,Pendrive,2246.53,23,2763.23,B
314,Amplituner,2346.57,5,2463.9,C
315,Ładowarka,4509.92,23,5547.2,A
316,Lodówka,4570.16,12,5118.58,H
317,Subwoofer,1989.23,8,2148.37,F
318,Hub USB,2612.85,8,2821.88,B
319,Gramofon,4365.69,8,4714.95,E
320,Kino domowe,4557.71,12,5104.64,F
321,Klawiatura,443.62,12,496.85,H
322,Ładowarka,4406.46,5,4626.78,E
323,Nawigacja,3472.68,5,3646.31,A
324,Toster,3556.1,12,3982.83,A
325,Torba,2137.12,8,2308.09,A
326,Ładowarka,547.56,5,574.94,H
327,Lodówka,4612.64,12,5166.16,H
328,Drukarka,3559.53,5,3737.51,F
329,Adapter,647.71,23,796.68,F
330,Czajnik,3283.74,23,4039.0,B
331,Stacja dokująca,229.5,23,282.28,D
332,Lampa,4015.17,5,4215.93,E
333,Aparat,884.29,8,955.03,E
334,Soundbar,739.97,8,799.17,E
335,Telefon,2547.41,5,2674.78,C
336,Kalkulator,641.04,8,692.32,B
337,Switch,2480.61,12,2778.28,H
338,Zasilacz,1653.02,8,1785.26,H
339,Switch,2587.81,12,2898.35,H
340,Zasilacz,4647.57,12,5205.28,B
341,Equalizer,1222.35,23,1503.49,D
342,Laptop,1248.69,23,1535.89,H
343,SSD,4875.58,12,5460.65,C
344,Filtr,1496.09,8,1615.78,C
345,Niszczarka,1903.1,12,2131.47,D
346,Odtwarzacz,3321.11,5,3487.17,A
347,Tablet,181.56,8,196.08,E
348,Ładowarka,1940.19,5,2037.2,A
349,Statyw,1647.88,23,2026.89,A
350,Lodówka,1421.84,23,1748.86,A
351,Torba,354.78,5,372.52,E
352,Drukarka,964.9,23,1186.83,F
353,Kabel,4241.02,12,4749.94,D
354,Ładowarka,4930.58,23,6064.61,B
355,Mikrofon,2503.26,23,3079.01,F
356,Ładowarka,4356.12,23,5358.03,D
357,Etui,3298.02,5,3462.92,B
358,Kontroler,4763.51,23,5859.12,A
359,Subwoofer,1444.61,8,1560.18,H
360,Kabel,4869.67,23,5989.69,C
361,Skaner,3366.55,5,3534.88,H
362,Ładowarka,2674.68,8,2888.65,C
363,Obudowa,1337.09,5,1403.94,B
364,Klawiatura,1460.94,23,1796.96,A
365,Klawiatura,2037.68,12,2282.2,F
366,Subwoofer,1129.07,12,1264.56,G
367,Nawigacja,615.7,23,757.31,A
368,Torba,3158.12,12,3537.09,E
369,Zasilacz,3235.28,12,3623.51,D
370,Amplituner,3509.97,5,3685.47,C
371,Kabel,870.17,8,939.78,C
372,Podkładka,1910.19,12,2139.41,E
373,Subwoofer,2912.4,5,3058.02,H
374,Mysz,141.23,8,152.53,H
375,Torba,3221.88,5,3382.97,B
376,Antena,4182.34,8,4516.93,B
377,Klawiatura,1641.43,23,2018.96,H
378,Aparat,2240.46,23,2755.77,H
379,Mikrofon,4381.68,23,5389.47,G
380,Kalkulator,1632.02,5,1713.62,E
381,Klimatyzator,2858.46,5,3001.38,C
382,Pendrive,4481.98,5,4706.08,F
383,Monitor,3354.78,5,3522.52,E
384,Uchwyt,973.67,23,1197.61,B
385,Tuner,793.56,5,833.24,E
386,Obiektyw,4848.44,8,5236.32,F
387,Odkurzacz,3961.33,23,4872.44,A
388,Obudowa,549.94,23,676.43,A
389,Subwoofer,720.0,12,806.4,A
390,Adapter,2050.3,23,2521.87,F
391,Modem,709.99,8,766.79,F
392,Mysz,89.93,5,94.43,B
393,Wzmacniacz sygnału,3155.01,23,3880.66,G
394,Wzmacniacz,3228.75,12,3616.2,H
395,Laptop,3517.53,23,4326.56,H
396,Niszczarka,3940.27,8,4255.49,F
397,Odkurzacz,701.27,5,736.33,C
398,Chłodzenie,1220.95,23,1501.77,G
399,Etui,3989.92,12,4468.71,F
400,Adapter,4757.1,23,5851.23,G
401,Kino domowe,1438.77,12,1611.42,B
402,Bindownica,4417.94,23,5434.07,B
403,Lampa biurkowa,1295.24,5,1360.0,E
404,Pendrive,3981.39,5,4180.46,E
405,Subwoofer,2708.29,23,3331.2,B
406,Zasilacz,949.08,12,1062.97,H
407,Kino domowe,4285.83,5,4500.12,G
408,Mikser,3555.12,8,3839.53,A
409,Wzmacniacz sygnału,3555.16,23,4372.85,H
410,Odtwarzacz,1623.72,23,1997.18,E
411,Dysk external,4395.67,23,5406.67,H
412,Antena,291.73,5,306.32,E
413,Fotel,2650.91,12,2969.02,C
414,Kino domowe,151.3,8,163.4,D
415,Robot kuchenny,3677.5,5,3861.38,F
416,Mikrofon,281.57,12,315.36,F
417,Mikrofon,707.6,12,792.51,A
418,Telefon,4383.08,23,5391.19,A
419,Monitor,2289.86,5,2404.35,E
420,Ładowarka,3448.7,12,3862.54,B
421,Ładowarka,4054.06,12,4540.55,C
422,Kino domowe,4533.17,5,4759.83,C
423,Wzmacniacz sygnału,3357.31,23,4129.49,B
424,Monitor,112.77,12,126.3,D
425,Laptop,1202.85,23,1479.51,A
426,Equalizer,1152.32,5,1209.94,A
427,Monitor,3305.67,23,4065.97,C
428,Odtwarzacz,1677.26,12,1878.53,A
429,Głośnik,642.56,8,693.96,H
430,Kalkulator,3784.33,8,4087.08,B
431,Chłodzenie,3086.75,8,3333.69,F
432,Podstawka,4911.73,5,5157.32,H
433,Webcam,1896.31,12,2123.87,E
434,Tuner,2955.23,12,3309.86,E
435,Karta pamięci,4882.76,5,5126.9,H
436,Głośnik,144.81,8,156.39,A
437,Kabel,639.01,5,670.96,D
438,Telewizor,3726.59,8,4024.72,E
439,Smartband,500.79,5,525.83,F
440,Konsola,233.77,12,261.82,A
441,Soundbar,2455.82,23,3020.66,G
442,Niszczarka,4388.49,12,4915.11,B
443,Słuchawki,4679.12,23,5755.32,F
444,Torba,2122.83,12,2377.57,G
445,Głośnik,678.7,5,712.64,F
446,Klawiatura,2829.57,5,2971.05,C
447,Powerbank,3115.73,12,3489.62,C
448,Projektor,2921.04,5,3067.09,H
449,Karta graficzna,792.7,12,887.82,E
450,Aparat,3175.85,23,3906.3,E
451,Tablet,2218.28,12,2484.47,G
452,Kolumny,1458.76,5,1531.7,B
453,Lampa biurkowa,4888.43,8,5279.5,D
454,Klawiatura,4863.76,5,5106.95,D
455,Lokalizator,4821.88,23,5930.91,E
456,Obudowa,760.92,12,852.23,G
457,Lokalizator,2974.38,5,3123.1,B
458,Wzmacniacz,3570.02,5,3748.52,H
459,Słuchawki,1306.21,23,1606.64,D
460,Pralka,3916.07,12,4386.0,F
461,Zmywarka,1069.52,12,1197.86,E
462,Equalizer,1035.87,12,1160.17,D
463,Pamięć RAM,3936.75,23,4842.2,C
464,Antena,985.14,5,1034.4,B
465,Monitor,498.78,23,613.5,H
466,Zasilacz,2200.38,5,2310.4,H
467,Stacja dokująca,3909.15,5,4104.61,H
468,Equalizer,1997.39,8,2157.18,C
469,Wzmacniacz,977.0,8,1055.16,C
470,Toster,993.49,5,1043.16,C
471,Tablet,1239.41,8,1338.56,C
472,Pendrive,4290.44,5,4504.96,A
473,Pamięć RAM,2269.55,23,2791.55,D
474,Klimatyzator,3460.36,12,3875.6,B
475,Drukarka,2429.55,23,2988.35,C
476,Gramofon,1631.24,5,1712.8,E
477,Ładowarka,2746.17,12,3075.71,G
478,Soundbar,2190.42,5,2299.94,C
479,Smartband,86.41,12,96.78,D
480,Uchwyt,1030.85,8,1113.32,E
481,Kolumny,744.74,5,781.98,C
482,Kabel,1569.94,23,1931.03,C
483,Podstawka,1614.54,23,1985.88,H
484,Ładowarka,3825.23,8,4131.25,F
485,Zasilacz,2829.7,23,3480.53,C
486,Aparat,3032.7,12,3396.62,E
487,Kabel,2457.43,8,2654.02,F
488,Adapter,2361.74,8,2550.68,B
489,Hub USB,2761.4,8,2982.31,E
490,Statyw,1296.42,12,1451.99,H
491,Bindownica,2724.91,5,2861.16,H
492,Kalkulator,797.42,8,861.21,D
493,Lampa biurkowa,154.44,12,172.97,H
494,Interfejs audio,296.03,23,364.12,A
495,Lampa,3944.78,23,4852.08,F
496,Robot kuchenny,487.87,12,546.41,F
497,Konsola,3403.99,5,3574.19,G
498,Router,2836.99,23,3489.5,E
499,Mikrofon,505.17,5,530.43,C
500,Drukarka,3969.93,8,4287.52,D
501,Subwoofer,996.13,5,1045.94,D
502,Adapter,4226.04,5,4437.34,D
503,Mikrofon,4034.63,23,4962.59,G
504,Webcam,4004.02,8,4324.34,G
505,Mysz,1941.58,23,2388.14,C
506,Podstawka,3664.41,12,4104.14,E
507,Drukarka,2024.23,5,2125.44,G
508,Projektor,4153.1,23,5108.31,G
509,Kamera,891.6,23,1096.67,A
510,Torba,2840.14,5,2982.15,A
511,Aparat,2768.2,12,3100.38,F
512,Monitor,4528.84,12,5072.3,A
513,Czajnik,983.12,23,1209.24,H
514,Podstawka,2946.95,23,3624.75,H
515,Pamięć RAM,2003.76,12,2244.21,H
516,Stacja dokująca,2681.92,8,2896.47,H
517,Słuchawki,2760.95,23,3395.97,F
518,Pendrive,740.5,23,910.81,B
519,Pendrive,907.63,5,953.01,H
520,Kabel,2962.15,8,3199.12,A
521,Adapter,3441.88,23,4233.51,H
522,Uchwyt,1366.48,5,1434.8,D
523,Mikrofon,1289.44,5,1353.91,C
524,Mysz,3660.83,12,4100.13,A
525,Podkładka,1504.26,8,1624.6,D
526,Odkurzacz,673.75,5,707.44,H
527,Kino domowe,4655.66,5,4888.44,A
528,Switch,631.65,8,682.18,H
529,SSD,3092.07,23,3803.25,D
530,Gramofon,828.9,12,928.37,G
531,Karta graficzna,298.62,5,313.55,C
532,Mikrofon,4472.94,5,4696.59,F
533,Mysz,4659.81,23,5731.57,H
534,Bindownica,520.18,12,582.6,H
535,Torba,4882.55,8,5273.15,F
536,Dysk external,4871.04,5,5114.59,F
537,Kabel,3090.77,5,3245.31,B
538,Szkło hartowane,2956.85,5,3104.69,H
539,Mikser,2477.49,8,2675.69,E
540,Kalkulator,1023.55,5,1074.73,C
541,Antena,3411.17,5,3581.73,B
542,Filtr,4607.64,23,5667.4,F
543,Klawiatura,4281.73,5,4495.82,C
544,Lampa,3159.33,12,3538.45,G
545,Obiektyw,1516.45,8,1637.77,F
546,Zasilacz,3500.59,8,3780.64,F
547,Ładowarka,2582.9,5,2712.05,H
548,Hub USB,2119.01,23,2606.38,B
549,Tablet,4028.2,23,4954.69,D
550,Ładowarka,4188.54,5,4397.97,D
551,Lampa biurkowa,2744.07,12,3073.36,C
552,Procesor,547.95,23,673.98,G
553,Mikser,4587.44,5,4816.81,F
554,Zasilacz,548.14,12,613.92,D
555,Tablet,2475.78,23,3045.21,G
556,Bindownica,740.52,23,910.84,G
557,Wzmacniacz sygnału,2178.11,8,2352.36,E
558,Drukarka,3097.61,8,3345.42,G
559,Mysz,4808.96,8,5193.68,H
560,Kabel,2833.72,23,3485.48,H
561,Karta graficzna,2746.43,5,2883.75,H
562,Karta pamięci,1766.2,23,2172.43,B
563,Projektor,3013.75,8,3254.85,D
564,Soundbar,358.77,5,376.71,B
565,Mikrofon,177.99,5,186.89,H
566,Szkło hartowane,1262.82,5,1325.96,H
567,Kolumny,4001.36,12,4481.52,E
568,Monitor,110.76,5,116.3,H
569,Wzmacniacz sygnału,4756.58,5,4994.41,E
570,Torba,3596.75,5,3776.59,G
571,Telefon,2541.89,23,3126.52,C
572,Soundbar,4657.4,23,5728.6,C
573,Telefon,1675.1,5,1758.86,A
574,Powerbank,840.4,5,882.42,G
575,Drukarka,3057.91,8,3302.54,H
576,Klawiatura,920.65,5,966.68,F
577,Projektor,2067.28,12,2315.35,G
578,Torba,785.78,5,825.07,F
579,Powerbank,4984.07,8,5382.8,B
580,Telefon,2383.31,5,2502.48,G
581,Kalkulator,4122.33,8,4452.12,F
582,Konsola,1469.1,5,1542.56,A
583,Adapter,1482.63,23,1823.63,D
584,Drukarka,2902.43,5,3047.55,A
585,Kalkulator,967.97,12,1084.13,F
586,Obiektyw,2724.81,12,3051.79,D
587,Filtr,1621.38,5,1702.45,H
588,Lokalizator,3545.94,12,3971.45,E
589,Mysz,3080.5,23,3789.01,A
590,Kolumny,1245.38,12,1394.83,G
591,Obudowa,3980.98,5,4180.03,B
592,Monitor,2149.6,8,2321.57,C
593,Drukarka,1298.46,12,1454.28,E
594,Ładowarka,2676.06,23,3291.55,H
595,Klawiatura,4536.43,8,4899.34,E
596,Subwoofer,3720.5,23,4576.22,F
597,Stacja dokująca,4923.97,5,5170.17,D
598,Kolumny,2984.45,23,3670.87,D
599,Czajnik,1696.98,12,1900.62,B
600,Wzmacniacz,1038.34,8,1121.41,E
601,Ładowarka,508.3,12,569.3,E
602,Kamera,2648.03,23,3257.08,E
603,Antena,4669.95,23,5744.04,H
604,Telewizor,2759.88,8,2980.67,C
605,Klawiatura,1251.29,23,1539.09,A
606,Router,871.04,5,914.59,C
607,Telefon,2012.03,5,2112.63,G
608,Zasilacz,2575.78,12,2884.87,F
609,SSD,3893.8,23,4789.37,D
610,Smartwatch,3430.31,12,3841.95,H
611,Telefon,2614.0,23,3215.22,G
612,Toster,819.75,8,885.33,G
613,Skaner,2980.43,5,3129.45,F
614,Fotel,3954.31,12,4428.83,F
615,Laptop,2713.43,8,2930.5,F
616,Lokalizator,3635.19,5,3816.95,A
617,Statyw,1982.58,12,2220.49,C
618,Projektor,784.04,5,823.24,B
619,Smartband,457.27,8,493.85,H
620,Chłodzenie,2029.19,12,2272.69,B
621,Tablet,1465.18,12,1641.0,G
622,Equalizer,3430.3,12,3841.94,D
623,Konsola,3753.87,12,4204.33,H
624,Torba,4162.47,23,5119.84,D
625,Mikser,3398.8,23,4180.52,G
626,Skaner,2711.31,8,2928.21,B
627,Uchwyt,1489.03,12,1667.71,F
628,Filtr,4731.03,8,5109.51,H
629,Etui,1656.72,23,2037.77,F
630,Kolumny,2182.8,23,2684.84,E
631,Laptop,2556.03,12,2862.75,F
632,Torba,1554.66,5,1632.39,G
633,Dysk,3739.04,8,4038.16,A
634,Ładowarka,2614.82,8,2824.01,G
635,Odtwarzacz,2771.11,23,3408.47,C
636,Konsola,3347.6,23,4117.55,B
637,Equalizer,4560.58,12,5107.85,G
